Station Name,Date (Local Standard Time),Air Temp. Min. (C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. ,Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Fine Fuel Moisture Code,Fine Fuel Moisture Code Source Flag,Fine Fuel Moisture Code Comment,Initial Spread Index,Initial Spread Index Source Flag,Initial Spread Index Comment
Jasper Warden,16-Nov-19,-3.7,ACTUAL,100,5.3,ACTUAL,100,1.3,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],6.2,AGGREGATED,100,166,AGGREGATED,100,78.7,COMPUTED,Computed for Sat Nov 16 13:00:00 MST 2019,1.2,COMPUTED,Computed for Sat Nov 16 13:00:00 MST 2019
Jasper Warden,17-Nov-19,1.8,ACTUAL,100,9.6,ACTUAL,100,4.3,AGGREGATED,100,3.7,AGGREGATED,using element [Precip. Weighing],6.7,AGGREGATED,100,150,AGGREGATED,100,56,COMPUTED,Computed for Sun Nov 17 13:00:00 MST 2019,0.4,COMPUTED,Computed for Sun Nov 17 13:00:00 MST 2019
Jasper Warden,18-Nov-19,-2.3,ACTUAL,100,5.9,ACTUAL,100,1.5,AGGREGATED,100,0.2,AGGREGATED,using element [Precip. Weighing],5.1,AGGREGATED,100,169.3,AGGREGATED,100,67.6,COMPUTED,Computed for Mon Nov 18 13:00:00 MST 2019,0.8,COMPUTED,Computed for Mon Nov 18 13:00:00 MST 2019
Jasper Warden,19-Nov-19,-5.2,ACTUAL,100,4,ACTUAL,100,-1.6,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],2.2,AGGREGATED,100,27.2,AGGREGATED,100,74.4,COMPUTED,Computed for Tue Nov 19 13:00:00 MST 2019,1.1,COMPUTED,Computed for Tue Nov 19 13:00:00 MST 2019
Jasper Warden,20-Nov-19,-7.9,ACTUAL,100,1.2,ACTUAL,100,-4.3,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],6.7,AGGREGATED,100,109.8,AGGREGATED,54.2,78.1,COMPUTED,Computed for Wed Nov 20 13:00:00 MST 2019,1.3,COMPUTED,Computed for Wed Nov 20 13:00:00 MST 2019
Jasper Warden,21-Nov-19,-8.2,ACTUAL,100,2.8,ACTUAL,100,-3.9,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],5.5,AGGREGATED,100,155.9,AGGREGATED,100,80.8,COMPUTED,Computed for Thu Nov 21 13:00:00 MST 2019,1.7,COMPUTED,Computed for Thu Nov 21 13:00:00 MST 2019
Jasper Warden,22-Nov-19,-7.7,ACTUAL,100,7.7,ACTUAL,100,1.2,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],8.6,AGGREGATED,100,168.9,AGGREGATED,100,83.2,COMPUTED,Computed for Fri Nov 22 13:00:00 MST 2019,2.1,COMPUTED,Computed for Fri Nov 22 13:00:00 MST 2019
Jasper Warden,23-Nov-19,1.2,ACTUAL,100,7.7,ACTUAL,100,4.8,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],8.1,AGGREGATED,100,169.5,AGGREGATED,100,84.4,COMPUTED,Computed for Sat Nov 23 13:00:00 MST 2019,2.8,COMPUTED,Computed for Sat Nov 23 13:00:00 MST 2019
Jasper Warden,24-Nov-19,-3.7,ACTUAL,100,4,ACTUAL,100,0.6,AGGREGATED,100,1.9,AGGREGATED,using element [Precip. Weighing],6.4,AGGREGATED,100,160.7,AGGREGATED,100,64.6,COMPUTED,Computed for Sun Nov 24 13:00:00 MST 2019,0.7,COMPUTED,Computed for Sun Nov 24 13:00:00 MST 2019
Jasper Warden,25-Nov-19,-8.5,ACTUAL,100,0.6,ACTUAL,100,-3.7,AGGREGATED,100,0.6,AGGREGATED,using element [Precip. Weighing],4.6,AGGREGATED,100,141.5,AGGREGATED,100,69,COMPUTED,Computed for Mon Nov 25 13:00:00 MST 2019,0.7,COMPUTED,Computed for Mon Nov 25 13:00:00 MST 2019
Jasper Warden,26-Nov-19,-12.2,ACTUAL,100,-3.7,ACTUAL,100,-8.1,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],7.2,AGGREGATED,100,360,AGGREGATED,100,73.3,COMPUTED,Computed for Tue Nov 26 13:00:00 MST 2019,1.1,COMPUTED,Computed for Tue Nov 26 13:00:00 MST 2019
Jasper Warden,27-Nov-19,-15.4,ACTUAL,100,-10.5,ACTUAL,100,-12.1,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],13.3,AGGREGATED,100,,UNAVAILBLE,0,76.3,COMPUTED,Computed for Wed Nov 27 13:00:00 MST 2019,1.4,COMPUTED,Computed for Wed Nov 27 13:00:00 MST 2019
